|6.6.6
1,0_0,2_0,0_0,0_0,0_0,0_MANTLE_1.tab                                                                
           2
T(K)    
   2200.0000000000000     
   456.41025641025641     
          40
P(bar)  
   1250000.0000000000     
   4839743.5897435900     
          40
          23
T(K)           P(bar)         rho,kg/m3      v0,km/s        vp,km/s        vs,km/s        alpha,1/K      cp,J/K/kg      Wus,mo%        Pv,mo%         an,mo%         O,mo%          Wad,mo%        Ring,mo%       Gt_maj,mo%     Ppv,mo%        st,mo%         q,mo%          ca-pv,mo%      cfs,mo%        coe,mo%        ky,mo%         seif,mo%      
  2200.000       6089744.       8017.291       16.23956       19.96348       10.05549      0.5249838E-05   1195.644      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  2656.410       6089744.       7997.886       16.23566       19.95291       10.04447      0.5361350E-05   1219.033      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  3112.821       6089744.       7978.191       16.23176       19.94214       10.03315      0.5439360E-05   1234.708      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  3569.231       6089744.       7958.296       16.22788       19.93122       10.02158      0.5499516E-05   1246.263      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4025.641       6089744.       7938.253       16.22404       19.92020       10.00980      0.5549390E-05   1255.434      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4482.051       6089744.       7918.092       16.22024       19.90907       9.997810      0.5592994E-05   1263.145      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4938.462       6089744.       7897.834       16.21649       19.89786       9.985622      0.5632613E-05   1269.918      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  5394.872       6089744.       7877.489       16.21279       19.88656       9.973239      0.5669625E-05   1276.070      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  5851.282       6089744.       7883.995       15.72904       18.38174       8.237978      0.2590051E-05   1247.945       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  6307.692       6089744.       7806.052       16.22509       18.46835       7.640005      0.2588290E-05   1249.781       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971    
  6764.103       6089744.       7796.818       16.21180       18.37330       7.487770      0.2598482E-05   1251.298       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971    
  7220.513       6089744.       7855.918       15.69198       18.11283       7.834358      0.2621027E-05   1252.429       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  7676.923       6089744.       7846.507       15.67960       18.02164       7.693982      0.2631092E-05   1253.737       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  8133.333       6089744.       7837.073       15.66720       17.92962       7.550336      0.2641098E-05   1254.987       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  8589.744       6089744.       7827.614       15.65478       17.83670       7.403162      0.2651071E-05   1256.194       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9046.154       6089744.       7818.131       15.64235       17.74284       7.252164      0.2661033E-05   1257.367       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9502.564       6089744.       7808.624       15.62991       17.64796       7.097001      0.2670998E-05   1258.515       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9958.974       6089744.       7799.093       15.61745       17.55200       6.937281      0.2680979E-05   1259.643       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  10415.38       6089744.       7789.538       15.60498       17.45485       6.772542      0.2690987E-05   1260.755       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  10871.79       6089744.       7779.959       15.59250       17.35643       6.602245      0.2701030E-05   1261.857       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  11328.21       6089744.       7770.356       15.58000       17.25660       6.425749      0.2711113E-05   1262.951       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  11784.62       6089744.       7760.729       15.56749       17.15522       6.242286      0.2721243E-05   1264.039       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  12241.03       6089744.       7751.079       15.55497       17.05214       6.050928      0.2731425E-05   1265.124       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  12697.44       6089744.       7741.404       15.54244       16.94714       5.850534      0.2741663E-05   1266.207       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  13153.85       6089744.       7731.705       15.52989       16.83999       5.639684      0.2751960E-05   1267.291       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  13610.26       6089744.       7721.982       15.51732       16.73040       5.416577      0.2762319E-05   1268.375       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  14066.67       6089744.       7712.234       15.50475       16.61801       5.178889      0.2772744E-05   1269.462       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  14523.08       6089744.       7702.462       15.49216       16.50238       4.923539      0.2783237E-05   1270.552       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  14979.49       6089744.       7692.666       15.47955       16.38295       4.646327      0.2793801E-05   1271.646       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  15435.90       6089744.       7682.844       15.46693       16.25901       4.341313      0.2804437E-05   1272.744       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  15892.31       6089744.       7672.998       15.45430       16.12964       3.999682      0.2815147E-05   1273.848       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  16348.72       6089744.       7663.127       15.44165       15.99363       3.607455      0.2825935E-05   1274.958       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  16805.13       6089744.       7653.231       15.42899       15.84935       3.140223      0.2836800E-05   1276.074       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
